,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Selling General And Administration,General And Administrative Expense,Insurance And Claims,Salaries And Wages,Total Revenue,Operating Revenue,Other Non Interest Expense,Market Cap
2025-06-30,0.0,0.180308,0.0,0.0,162579100000.0,396633600000.0,477085100000.0,873718700000.0,162579100000.0,162579100000.0,15395748106.0,7657988695.0,10.56,10.615,162579100000.0,162579100000.0,162579100000.0,-8325200000.0,170904300000.0,0.0,170904300000.0,37594000000.0,208498300000.0,0.0,369703800000.0,369703800000.0,280729200000.0,88974600000.0,853464600000.0,853464600000.0,212126200000.0,7644708273076.719
2025-03-31,0.0,0.063827,,,153934600000.0,277684600000.0,454397100000.0,732081700000.0,153934600000.0,153934600000.0,15362871126.0,,,,153934600000.0,153934600000.0,153934600000.0,8959300000.0,144975300000.0,,144975300000.0,9884300000.0,154859600000.0,,871615800000.0,871615800000.0,-186075400000.0,45991000000.0,953058900000.0,953058900000.0,,
2024-12-31,0.0,0.234964,0.0,0.0,176566100000.0,381258900000.0,469142800000.0,850401700000.0,176566100000.0,176566100000.0,15353573913.0,7640246646.0,23.0,23.11,176566100000.0,176566100000.0,176566100000.0,-6835000000.0,183401100000.0,0.0,183401100000.0,56327600000.0,239728700000.0,0.0,252626700000.0,252626700000.0,167450100000.0,85176600000.0,652796600000.0,652796600000.0,120868300000.0,6682182846244.532
2024-09-30,0.0,0.157466,,,173810500000.0,325138900000.0,444663700000.0,769802600000.0,173810500000.0,173810500000.0,,,,,173810500000.0,173810500000.0,173810500000.0,-1183100000.0,174993600000.0,,174993600000.0,32705600000.0,207699200000.0,,-89394600000.0,-89394600000.0,-3190800000.0,66609900000.0,195554500000.0,195554500000.0,,
2024-06-30,0.0,0.243729,0.0,0.0,164748500000.0,369667000000.0,445795000000.0,815462000000.0,164748500000.0,164748500000.0,15261556276.0,7602607291.0,21.59,10.835,164748500000.0,164748500000.0,164748500000.0,-7132000000.0,171880500000.0,0.0,171880500000.0,55393200000.0,227273700000.0,0.0,350416200000.0,350416200000.0,267525500000.0,82890700000.0,724169900000.0,724169900000.0,115049100000.0,6315272053303.641
